OrgNr,name,industry_name,company_size_category,profitability_category,growth_category
5590530878,Agro Maskiner Rental AB,,Micro,Low Profitability,High Growth
5594668146,Ahlbys Lantbruk AB,,Micro,Good Profitability,Rapid Decline
5568840721,Ahlma Fiskeri AB,,Micro,Good Profitability,High Growth
5560772245,Ahnell & Partner Revisionsbyrå AB,,Micro,High Profitability,Medium Growth
5561905240,Ahrenbäcks Ädelstenssliperi Aktiebolag,,Micro,High Profitability,Low Growth
5566322011,Ahrås & Aldefelt Revision AB,,Micro,High Profitability,Low Growth
5561867929,Aiab energy AB,,Micro,Low Profitability,Declining
5562662121,Air Traffic Trade i Stockholm AB,,Micro,Good Profitability,High Growth
5568238298,AirPro Filter AB,,Micro,Low Profitability,Medium Growth
5561784249,Airam AB,,Micro,Low Profitability,Declining
5563070829,Aircano AB,,Micro,Low Profitability,Rapid Decline
5565312583,Aircenter AB,,Micro,Low Profitability,High Growth
5561302851,Airtec Pneumatic Sweden Aktiebolag,,Micro,High Profitability,Low Growth
5567838064,Akademisk Marknadsanalys Stockholm AB,,Micro,High Profitability,Low Growth
5566029566,Akribi System AB,,Micro,High Profitability,Medium Growth
5563131688,Akriform Plast Aktiebolag,,Small,Low Profitability,High Growth
5561830372,Aktiebolag Bröderna Larssons Grustag,,Micro,Low Profitability,Declining
5562599182,Aktiebolaget Allson Kyl & Fryslager,,Micro,Good Profitability,High Growth
5560376518,Aktiebolaget Bandindustri,,Small,Good Profitability,Low Growth
5561830307,Aktiebolaget Bockara Betongvaror,,Micro,Good Profitability,Rapid Decline
5562414028,Aktiebolaget Bröderna Bourghardt,,Micro,Low Profitability,Medium Growth
5560930645,Aktiebolaget Bröderna Nilssons Snickerifabrik,,Micro,Good Profitability,Declining
5564432697,Aktiebolaget Butiken Hem och Hobby i Hjo,,Micro,Good Profitability,Low Growth
5560505959,Aktiebolaget Bösarps Grus & Torrbruk,,Micro,Good Profitability,Declining
5560355926,Aktiebolaget Cernelle.,,Small,Good Profitability,High Growth
5565146031,Aktiebolaget City Hiss Stockholm,,Micro,Low Profitability,Declining
5563426831,Aktiebolaget Dahlgrens Cementgjuteri,,Micro,Good Profitability,Medium Growth
5564792272,Aktiebolaget Dala Plåtteknik,,Micro,Good Profitability,Low Growth
5560638719,Aktiebolaget Elektriska Motorcentralen,,Micro,Low Profitability,Low Growth
5561220046,Aktiebolaget Fristads Expressbyrå,,Micro,Low Profitability,Declining
5560622689,Aktiebolaget Fritz Olsson,,Micro,Good Profitability,Low Growth
5561936260,Aktiebolaget Fyhr:s Tryckluft-Service,,Micro,Good Profitability,High Growth
5560867680,Aktiebolaget G. Fors Verkstäder,,Micro,Good Profitability,Low Growth
5560935479,Aktiebolaget G.F. Swedenborg Ingenjörsfirma,,Micro,Low Profitability,Medium Growth
5560869413,Aktiebolaget Germa,,Micro,Low Profitability,Low Growth
5560880600,Aktiebolaget Gislaveds Glasmästeri,,Micro,Good Profitability,Rapid Decline
5560639709,Aktiebolaget Gotenius Varv & Mekaniska Verkstad,,Micro,Low Profitability,High Growth
5561304261,Aktiebolaget Gust. Magnussons Eftr.,,Micro,High Profitability,Low Growth
5565989711,Aktiebolaget Gustav Alexandersson,,Micro,High Profitability,Medium Growth
5561439182,Aktiebolaget Gustav Holmström Snickerifabrik,,Micro,Good Profitability,Low Growth
5566184270,Aktiebolaget Gävle Cisternplast,,Micro,Good Profitability,Low Growth
5560282591,Aktiebolaget H. Brunner,,Small,Low Profitability,Declining
5565898623,Aktiebolaget Hammarström & Lundberg,,Micro,Low Profitability,Low Growth
5564719820,Aktiebolaget Hatten,,Micro,Low Profitability,Medium Growth
5560968645,Aktiebolaget Hellgrens Färghus,,Micro,Low Profitability,Declining
5563139673,Aktiebolaget Henriksbergs Verkstäder,,Micro,Low Profitability,High Growth
5561043976,Aktiebolaget Herbert Sjöström,,Micro,Low Profitability,Rapid Decline
5560369257,Aktiebolaget Heribert Engelbert,,Micro,Low Profitability,Declining
5561342527,Aktiebolaget Hälls Skrotaffär,,Micro,Low Profitability,Rapid Decline
5562717875,Aktiebolaget Ifo Vattenrening,,Micro,Low Profitability,Declining
5560518994,Aktiebolaget Industrigummi,,Micro,Good Profitability,Declining
5563235976,Aktiebolaget K G Nilssons Cementgjuteri,,Micro,High Profitability,Rapid Decline
5563124345,Aktiebolaget Kablego Dalarna,,Micro,Low Profitability,Declining
5561254979,Aktiebolaget Kalix Elektriska Affär,,Micro,Low Profitability,Medium Growth
5561911537,Aktiebolaget Karlskrona Lampfabrik,,Micro,Good Profitability,Rapid Decline
5560737750,Aktiebolaget Knut Westerbergs Repslageri,,Micro,Good Profitability,Medium Growth
5561696195,Aktiebolaget Konsumentkemi,,Micro,Good Profitability,Low Growth
5561846238,Aktiebolaget Kulleborn & Stenström,,Micro,Good Profitability,Declining
5560809369,Aktiebolaget Lerkils Båtvarv,,Micro,Good Profitability,Rapid Decline
5562172329,Aktiebolaget Limmareds Gardinfabrik,,Micro,Good Profitability,Medium Growth
5562214402,Aktiebolaget Lito-Plast,,Micro,High Profitability,Low Growth
5560598582,Aktiebolaget Maseco,,Micro,Good Profitability,Rapid Decline
5560875055,Aktiebolaget Motala Båtvarv,,Micro,Low Profitability,High Growth
5563364412,Aktiebolaget Nordkote Tätningsspecialisten,,Micro,Low Profitability,Medium Growth
5562896554,Aktiebolaget Nybro Cementgjuteri,,Small,Good Profitability,Rapid Decline
5560282948,Aktiebolaget Nyhetsbyrån Direkt,,Micro,Good Profitability,Declining
5560603986,Aktiebolaget Nässjö Sågbladsfabrik,,Micro,Good Profitability,Low Growth
5561146027,Aktiebolaget Ollanders Vulkverkstad,,Micro,Low Profitability,Low Growth
5563261949,Aktiebolaget PHILEA,,Micro,Low Profitability,Medium Growth
5563522977,Aktiebolaget Perstorps Persienn,,Micro,Good Profitability,Rapid Decline
5562443795,Aktiebolaget RSG Connexion,,Micro,Good Profitability,High Growth
5567442032,Aktiebolaget Ribbingsberg Säteri,,Micro,Good Profitability,Medium Growth
5560249970,Aktiebolaget Robert Lidbeck & Co,,Micro,Low Profitability,Rapid Decline
5561584441,"Aktiebolaget Rofo, Norin & Co",,Micro,Good Profitability,Medium Growth
5562160555,Aktiebolaget Servus,,Micro,High Profitability,Low Growth
5569322083,Aktiebolaget Sjöbo Gummiverkstad,,Micro,Low Profitability,Low Growth
5593466807,Aktiebolaget Slussens Pensionat,,Micro,Low Profitability,Rapid Decline
5561848762,Aktiebolaget Sten Davidsson,,Micro,Low Profitability,Medium Growth
5562673151,Aktiebolaget Sunne Bil & Maskin,,Micro,Low Profitability,High Growth
5561220798,Aktiebolaget Systemstöd Sverige,,Micro,Good Profitability,Low Growth
5561153080,Aktiebolaget Tabula,,Micro,Good Profitability,Low Growth
5564739000,Aktiebolaget Torsten Hedin,,Micro,Good Profitability,Medium Growth
5562011220,Aktiebolaget Ulax,,Micro,Good Profitability,High Growth
5563797850,Aktiebolaget Ulricehamns Glasmästeri,,Micro,Low Profitability,Rapid Decline
5563232072,Aktiebolaget Vulkekonomi i Bålsta,,Micro,Good Profitability,Declining
5560639451,Aktiebolaget Västanfors Industrier,,Small,Good Profitability,Rapid Decline
5561795690,Aktiebolaget Vårby Färghall,,Micro,Low Profitability,Declining
5561937078,Aktiespararnas Serviceaktiebolag,,Micro,Good Profitability,Rapid Decline
5567442578,Aktiv Revision i Gävle AB,,Micro,Good Profitability,Low Growth
5566617915,Aktiva Event Sverige AB,,Micro,Low Profitability,Rapid Decline
5565486551,Aktören AB,,Small,Low Profitability,High Growth
5593351363,Alanya Kött Gross AB,,Micro,Low Profitability,High Growth
5592679731,Albatros 24/7 AB,,Micro,Low Profitability,High Growth
5593313587,Albot Invest AB,,Micro,Good Profitability,High Growth
5562391911,Alebäcks Stuteri Aktiebolag,,Micro,Good Profitability,Low Growth
5569905010,Alento AB,,Micro,Good Profitability,Declining
5565135596,Alexander Grünfeld AB,,Micro,Low Profitability,High Growth
5563524908,Alfa Neon Aktiebolag,,Micro,Low Profitability,Rapid Decline
5562031525,Alfabeta Bokförlag Aktiebolag,,Micro,Good Profitability,Declining
5562833151,Alfta Pall Aktiebolag,,Micro,Good Profitability,Rapid Decline
5566059738,Alkit Communications AB,,Micro,High Profitability,Declining
5563837862,AllDuplo Offsettryck Aktiebolag,,Micro,Good Profitability,Rapid Decline
5566774005,AllTor Data och Larmteknik AB,,Micro,Good Profitability,High Growth
5565205456,Alla Tiders Matlagare Lindius AB,,Micro,Low Profitability,Low Growth
5563092104,Allan Bruks Aktiebolag,,Micro,Low Profitability,Rapid Decline
5561190694,Allan Danielssons Trävaru Aktiebolag,,Micro,Good Profitability,Rapid Decline
5561542795,Allbox & BHB AB,,Small,Good Profitability,Rapid Decline
5560899899,Allergon Aktiebolag,,Small,Good Profitability,Declining
5560790411,Allmogesnickerier Fönstersnickeri i Tänger AB,,Micro,Low Profitability,Declining
5566249479,Allmogesnickerier i Leksand AB,,Micro,High Profitability,Rapid Decline
5569858052,Allpapper AB,,Micro,Good Profitability,Medium Growth
5562831619,Allpryl Torsten Ericsson Aktiebolag,,Micro,Good Profitability,Medium Growth
5590354451,Alltreko Bygg AB,,Micro,Good Profitability,High Growth
5562337591,Alltronic Aktiebolag,,Micro,Good Profitability,Rapid Decline
5563073468,Almnäs Bruk AB,,Small,Low Profitability,High Growth
5591243836,Aloaded AB,,Micro,High Profitability,Low Growth
5567077655,Alpine Legends AB,,Micro,Low Profitability,Rapid Decline
5590209028,Altiant AB,,Micro,Good Profitability,High Growth
5569931024,Altitude Meetings AB,,Micro,Low Profitability,Low Growth
5591288567,Alufasad Nordic AB,,Micro,Good Profitability,Medium Growth
5567822407,Aluminiumsvets i Östergötland AB,,Micro,Good Profitability,Declining
5563276087,Alusol Försäljnings Aktiebolag,,Micro,Low Profitability,Low Growth
5568757263,Alvesta Biogas AB,,Micro,Good Profitability,Declining
5563266096,Alvesta Ventilation & Svets Aktiebolag,,Micro,Low Profitability,Declining
5561624346,Alviks Buss Aktiebolag,,Micro,Good Profitability,High Growth
5566428065,AmSpec (Sweden) AB,,Micro,Good Profitability,Low Growth
5591585368,Amazon Online Sweden AB,,Small,Low Profitability,High Growth
5569200008,Amazone Trafikskola i säffle AB,,Micro,Good Profitability,High Growth
5591271647,Amelia Vårdbemanning AB,,Micro,Low Profitability,Medium Growth
